entity_id,claim_id,rank,property_id,datatype,datavalue,sampling_weight_vb,sampling_weight
Q7673600,q7673600$33fabc15-4651-4cd8-34a8-312f81b429ef,normal,P421,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7056, 'id': 'Q7056'}, 'type': 'wikibase-entityid'}",40|15,2.6666666666666665
Q3238282,Q3238282$d5b0cee5-4345-de70-2e63-23ec8dc66a44,normal,P1705,monolingualtext,"{'value': {'text': '呼和浩特/白塔', 'language': 'zh'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q158732,Q158732$66c0fd64-4e93-9462-ddb4-e468e8466446,normal,P1705,monolingualtext,"{'value': {'text': 'Flughafen Stuttgart', 'language': 'de'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q1432234,Q1432234$FBABD3A1-CD34-4ACF-AA5E-6660C1DB455B,normal,P1705,monolingualtext,"{'value': {'text': 'Міжнародний аеропорт Одеса', 'language': 'uk'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q327689,Q327689$a2e61775-4bb8-4e74-1d0f-12eff65ea4be,normal,P1705,monolingualtext,"{'value': {'text': 'Flugplatz Wiesbaden-Erbenheim', 'language': 'de'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q1347322,Q1347322$0186e4e0-4386-2a38-dd55-f02e2394944b,normal,P1705,monolingualtext,"{'value': {'text': 'مطار الأقصر الدولي', 'language': 'ar'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q978595,Q978595$036b7202-4500-8f75-32b3-61e7c5309bc2,normal,P1705,monolingualtext,"{'value': {'text': 'Aeropuerto de La Palma', 'language': 'es'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q223416,Q223416$636d89f4-4239-7300-b60b-ce7817458e80,normal,P1705,monolingualtext,"{'value': {'text': 'Aéroport Paris-Orly', 'language': 'fr'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q835129,Q835129$8bd2e392-4aff-2dcd-0c2d-3505f964355c,normal,P1705,monolingualtext,"{'value': {'text': 'Bornholms Lufthavn', 'language': 'da'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q3886575,Q3886575$ad55532f-4c82-e9b0-9c92-0c8071e5eacf,normal,P1705,monolingualtext,"{'value': {'text': 'Hana Airport', 'language': 'en'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q1431840,Q1431840$51c2f241-494e-73a6-38c7-6a2e8c0863b6,normal,P1705,monolingualtext,"{'value': {'text': 'Aéroport de La Rochelle Île de Ré', 'language': 'fr'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q330015,Q330015$ff6d592c-4df2-33ac-c1a7-149e134d3fdb,normal,P1705,monolingualtext,"{'value': {'text': 'Denver International Airport', 'language': 'en'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q1547,Q1547$7dcc6f1a-493e-c3bb-0df4-1b6dd8a9f463,normal,P1705,monolingualtext,"{'value': {'text': 'Aéroport Lyon Saint-Exupéry', 'language': 'fr'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q2088518,Q2088518$D7F9FD33-5729-41E5-8D1E-B09D4A19AC4B,normal,P1705,monolingualtext,"{'value': {'text': 'Bardufoss lufthavn', 'language': 'nn'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q1433031,Q1433031$1a41684e-4041-3c3e-efe2-8fc00cab9fa0,normal,P1705,monolingualtext,"{'value': {'text': 'Lapangan Terbang Tawau', 'language': 'ms'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q178021,Q178021$d56c87fc-4ca3-0f17-07a4-e930df0836cb,normal,P1705,monolingualtext,"{'value': {'text': 'Aerfort Bhaile Átha Cliath', 'language': 'ga'}, 'type': 'monolingualtext'}",41|15,2.7333333333333334
Q178021,Q178021$9f9251d1-47b6-9344-5e32-24829080ccf1,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 97671075, 'id': 'Q97671075'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q46280,Q46280$157b5374-4b62-63e1-0ff6-ea2ec67a8f15,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 55728697, 'id': 'Q55728697'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q44856,Q44856$81a2a983-4871-7f76-ed68-6f9d01ab7725,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 30950773, 'id': 'Q30950773'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q744748,Q744748$a5e6471e-41e9-cceb-69d7-0ba33f8a8dd5,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 56100816, 'id': 'Q56100816'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q213717,Q213717$0ecb85b1-4aff-3af4-1813-bc241f86304d,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 55777411, 'id': 'Q55777411'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q908296,Q908296$7521ed4a-48df-f343-49ff-f04886514a84,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 872759, 'id': 'Q872759'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q3497425,Q3497425$c91e695a-43ab-c284-9398-c4d912fb686f,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 49751529, 'id': 'Q49751529'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q3274670,Q3274670$c7f40492-4bda-cb41-b2e4-f313dac3f74c,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 26672302, 'id': 'Q26672302'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q46033,Q46033$6425eb9d-400a-db3d-a4f9-825995e52057,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 104629609, 'id': 'Q104629609'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q213717,Q213717$d59f7e3d-43ae-6f38-ac72-aed46fe7e467,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 55777413, 'id': 'Q55777413'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q178021,Q178021$a8c9c85e-4182-463c-72f5-f69aa57547a3,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 97671068, 'id': 'Q97671068'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q1433263,Q1433263$6b1a57b5-476e-783a-afee-f148b612c316,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 55657199, 'id': 'Q55657199'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q46280,Q46280$6b6c5e20-4c2b-ab60-5865-c91adfe295cd,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 18920905, 'id': 'Q18920905'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q178021,Q178021$870a6f3a-4781-3da0-66ee-df57c3b5a7a8,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 97671073, 'id': 'Q97671073'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q1332979,Q1332979$336a132d-49c8-659d-79ec-e5bdd376c2ff,normal,P527,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 20103124, 'id': 'Q20103124'}, 'type': 'wikibase-entityid'}",50|15,3.3333333333333335
Q2262149,Q2262149$133933ad-45b1-2ffa-cb7e-3a49b7dcac8c,normal,P576,time,"{'value': {'time': '+1940-05-10T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q7275199,Q7275199$7D61FE66-5CE8-4C84-8963-692B16E48F71,normal,P576,time,"{'value': {'time': '+1946-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q7707041,Q7707041$79d4b417-4b2a-bddd-534e-116df390260c,normal,P576,time,"{'value': {'time': '+2002-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q17437766,Q17437766$94e11adf-4a6e-6f05-44d9-5d293000d602,normal,P576,time,"{'value': {'time': '+2008-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q7275397,Q7275397$dcc28d5c-4439-9d38-93b7-0e2971165b18,normal,P576,time,"{'value': {'time': '+1993-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q12155335,Q12155335$46876bbc-4ee7-9094-ebe7-3aed15eefe09,normal,P576,time,"{'value': {'time': '+1964-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q2112559,Q2112559$8fd40251-4c59-dc96-6702-c104e5e7d87a,normal,P576,time,"{'value': {'time': '+1991-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q8027659,Q8027659$d26733dc-4a71-b48e-6886-5c70cef88bfd,normal,P576,time,"{'value': {'time': '+1944-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q10853687,Q10853687$157749c6-45b0-7e51-aee9-f527e3136634,normal,P576,time,"{'value': {'time': '+1986-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q3915068,Q3915068$936A761A-EDA7-471D-B41E-0F375EDF9C57,normal,P576,time,"{'value': {'time': '+1948-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q18208145,Q18208145$5868c8fb-4f12-514b-ba2b-7f228fb42594,normal,P576,time,"{'value': {'time': '+2002-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q1405771,Q1405771$6d85ada9-405b-c9d6-8fe2-61c07a164de2,normal,P576,time,"{'value': {'time': '+2014-05-15T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q3274670,Q3274670$31f5cce1-4bdd-027a-f14d-f979ee3534c7,normal,P576,time,"{'value': {'time': '+1947-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q12693837,Q12693837$8d68c6e6-4e97-de8e-af62-eceb66e0c102,normal,P576,time,"{'value': {'time': '+2014-05-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q5004956,Q5004956$f9779197-4f43-53a8-f488-2e94d74b9a91,normal,P576,time,"{'value': {'time': '+1999-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",52|15,3.466666666666667
Q2785373,Q2785373$3fb62429-4ac8-08c2-7b0b-f593b2f7f5b3,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 91937566, 'id': 'Q91937566'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q6588700,Q6588700$340897bf-4334-4894-2a09-eac4db9b8f30,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7821622, 'id': 'Q7821622'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q7971631,Q7971631$be731d0e-4b0a-9af8-1cdb-7f47fd124e67,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3206684, 'id': 'Q3206684'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q16924465,Q16924465$35d56e0a-40ff-907c-598e-d216e59abb16,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1019333, 'id': 'Q1019333'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q676576,Q676576$1002e13b-4fbf-a9ad-04c1-0e3eaee64df4,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7971631, 'id': 'Q7971631'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q141677,Q141677$f2d15638-4cc3-3597-1488-fca2a1d9c57f,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5968461, 'id': 'Q5968461'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q2580525,Q2580525$6bd6a66f-4bb2-4ebd-6015-be403e6e73d6,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 15243078, 'id': 'Q15243078'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q8721,Q8721$6cf1e0f8-46f5-a762-2731-c8135038a242,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7313156, 'id': 'Q7313156'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1232348,Q1232348$b0454642-41c4-6c93-7252-7b2c23b62ff8,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3606076, 'id': 'Q3606076'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q477555,Q477555$039ef648-4c7e-22c4-a6ac-2a619f779b84,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7275582, 'id': 'Q7275582'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q170343,Q170343$f0ff6d6c-4338-9a9a-7b51-92efd27d5ac6,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 597065, 'id': 'Q597065'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1432379,Q1432379$31d1bd72-41bf-b8fe-3586-0559f2444797,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7275546, 'id': 'Q7275546'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q3913646,Q3913646$272d59a2-459d-60aa-2d82-005cbd1dc00c,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3218170, 'id': 'Q3218170'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1431106,Q1431106$85bb4375-4660-c47b-77f4-8cc4ec6a8c64,normal,P1365,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 22058527, 'id': 'Q22058527'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q279167,Q279167$386c9596-4c36-1e2c-a131-4504a2a434de,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3456187, 'id': 'Q3456187'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q6797332,Q6797332$F685B2F1-245F-43BC-A3DE-8E249CDC5BBC,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 21889732, 'id': 'Q21889732'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q7911855,Q7911855$d094c968-490d-4b7e-7a62-714ad9dc6949,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6645357, 'id': 'Q6645357'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q17529,Q17529$4bc8a1ca-4b30-3f6d-5a5b-3a0a2268b19b,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1028408, 'id': 'Q1028408'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q7180156,Q7180156$1860d092-4917-5781-0771-30a1ed3ad84c,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7180155, 'id': 'Q7180155'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1431971,Q1431971$11E2A6B1-2293-4DFC-898B-507859800121,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3352747, 'id': 'Q3352747'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q2660813,Q2660813$318e3d19-491e-1ee4-f241-7538d01d632a,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 4346928, 'id': 'Q4346928'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q8992,Q8992$FA7EDC10-BCC4-4367-A6F3-AE9C4F87F677,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 939049, 'id': 'Q939049'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q11824805,Q11824805$5C864D12-8793-45AC-B3F8-B77A4B9ED1C5,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 2788830, 'id': 'Q2788830'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q45938,Q45938$f4740ea2-40d3-2808-298c-c0db82e244b3,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 742714, 'id': 'Q742714'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1827663,Q1827663$cd85ca42-42ce-6679-2a58-5e01b614ce74,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 993851, 'id': 'Q993851'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1433148,Q1433148$D0F57D75-8579-4CF2-9B65-2F9868E44439,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 25579, 'id': 'Q25579'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q3565953,Q3565953$ae25f552-474a-b57d-33e3-e9833a308cac,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3041043, 'id': 'Q3041043'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q1432275,Q1432275$1e131f9c-46ca-95e7-aaeb-8e36d4899724,normal,P276,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 505208, 'id': 'Q505208'}, 'type': 'wikibase-entityid'}",53|14,3.7857142857142856
Q265994,Q265994$d9276cd1-4cbf-44ef-80b9-20df034187bb,normal,P8687,quantity,"{'value': {'amount': '+5807', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q865724,Q865724$3775c7d5-6789-468c-a504-9e3dab405409,preferred,P8687,quantity,"{'value': {'amount': '+4772', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q853886,Q853886$815ec167-e62e-4b8c-9ae8-03e80e50b69f,normal,P8687,quantity,"{'value': {'amount': '+36956', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q158732,Q158732$7330e3a4-424d-4abc-a5f7-45bb5cdc41fd,preferred,P8687,quantity,"{'value': {'amount': '+10266', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q744748,Q744748$7e8f26f0-d5c9-40f3-ad8e-81043dd69bdc,normal,P8687,quantity,"{'value': {'amount': '+40606', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q1333923,Q1333923$13521464-0cc4-4389-95e8-89d72df17f19,normal,P8687,quantity,"{'value': {'amount': '+26348', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q2213419,Q2213419$56d3db73-ed81-49fc-96ce-8fbb8bac0740,normal,P8687,quantity,"{'value': {'amount': '+4506', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
Q875749,Q875749$f649168b-c55e-4a4c-af79-3bc2b54e13b3,preferred,P8687,quantity,"{'value': {'amount': '+36699', 'unit': '1'}, 'type': 'quantity'}",54|14,3.857142857142857
